Ingredient|Type|Category
GranGala(R) orange spirit||
granulated sugar||
grape jello||
Grape Pucker||
Grape schnapps||
Grappa||
greek seasoning||
green apple jell-o||
green apple schnapps||
green apple wine cooler||
Green Chartreuse||
Green Chartreuse(R)||
Green Chili||
Green Creme de Menthe||
Green Curacao||
Green Curacao spirit||
Grenadine||
guava puree|mixer|
guavaberry spirit|spirit|
gummi bears||
Haagen Dazs(R) cream spirit||
Half-and-half||
hard cider||
hard lemonade||
Harlem||
Harp||
hazelnut creamer||
Hazelnut spirit||
hazelnuts||
Heavy cream||
Heering(R) cherry spirit||
Hellmann's(R) mayonnaise||
Herbsaint(R) spirit||
Hershey's(R) cocoa|mixer|
Hiram Walker(R) Blue Curacao spirit|spirit|
Hiram Walker(R) creme de noyaux spirit|spirit|
Hiram Walker(R) peppermint schnapps||
Hiram Walker(R) triple sec||
Honey||
honey spirit||
honeydew melon||
Hoopers Hooch||
Hooper's(R) Hooch||
Horchata||
Horseradish||
Hot chocolate||
hot cocoa||
Hot Damn||
Hot red pepper flakes|mixer|
House Liquer||
House Port||
House Sake||
Hpnotiq||
Hpnotiq(R) spirit||
Hudson||
Hurricane(R) malt liquor||
Ice|mixer|
Ice 101||
Ice 101(R) peppermint schnapps||
ice cream||
ice cubes|mixer|
Ice-cream||
Iced tea||
icing sugar||
instant coffee||
Irish cream||
Irish Mist||
Irish Mist(R) herbal spirit||
island pineapple jell-o||
Italian vermouth||
Izarra(R) herbal spirit||
Jack Daniel's(R) Downhome Punch||
Jacquin's(R) peach schnapps||
Jagermeister||
Jagermeister(R) herbal spirit|spirit|
Jalapeno||
jalapeno pepper||
Jamaican rum cream||
Jello||
jelly||
Jolt Cola|mixer|
Jolt(R) cola|mixer|
Jone's Soda(R) Berry Lemonade|mixer|
Jose Cuervo(R) margarita mix||
Jubilee(R) peach schnapps||
Just Desserts(R) chocolate chip cookie cream spirit|spirit|
Kahlua|spirit|
Kahlua(R) coffee spirit|spirit|
Kahlua(R) Especial coffee spirit|spirit|
Kahlua(R) French Vanilla spirit|spirit|
Kamora(R) coffee spirit|spirit|
Kazkar Feni(R) cashew apple spirit||
Ke Ke Beach(R) key lime spirit||
Kerns Pineapple-Coconut Nectar||
Key Largo schnapps||
key lime||
key lime spirit||
Kirschwasser||
Kit Kat(R) chocolate bar||
Kiwi||
Kiwi spirit||
kiwis||
Kona coffee spirit|spirit|
Kool-Aid|mixer|
Kool-Aid(R)|mixer|
Kool-Aid(R) Berry Blue mix|mixer|
Kool-Aid(R) Blue Raspberry mix|mixer|
Kool-Aid(R) Cherry mix|mixer|
Kool-Aid(R) Grape mix|mixer|
Kool-Aid(R) Lemonade Tea mix|mixer|
Kool-Aid(R) Lemon-Lime mix|mixer|
Kool-Aid(R) Orange mix|mixer|
Kool-Aid(R) Strawberry mix|mixer|
Kool-Aid(R) Tangerine mix|mixer|
Kool-Aid(R) Tropical Punch mix|mixer|
Kraken||
Krekling Arctic Crowberry Frost||
Krogstad Aquavit||
Kummel||
Kummel(R) caraway spirit||
Kwai Feh(R) lychee spirit|spirit|
La Chouffe||
La Grande Passion(R) spirit|spirit|
La Paz(R) strawberry margarita mix||
Lapponia cloudberry spirit|spirit|
Lapponia Lakka cloudberry spirit|spirit|
latte||
Lazzaroni Amaretto||
Leapolds Small Batch||
Leblon Cachaca||
Lemon||
lemon cordial||
lemon grass|mixer|
lemon iced tea||
lemon Italian ice|mixer|
Lemon spirit|spirit|
lemon mix|mixer|
Lemon peel|mixer|
Lemon schnapps|mixer|
lemon sherbet|mixer|
lemon squash|mixer|
Lemonade|mixer|
Lemonel(R) lemon spirit|spirit|
Lemon-lime mix|mixer|
lemons||
Leopold Bros Cranberry||
Leopold Bros Sour Cherry||
Leroux(R) banana spirit|spirit|
Leroux(R) pina colada schnapps||
Licor 43|spirit|
Licor 43(R) spirit|spirit|
Licor Beirao(R) herbal spirit|spirit|
licorice|mixer|
licorice spirit||
Licorice root||
Light cream||
Lillet Rougue||
Lillit Blonde||
Lime||
lime cordial||
lime jell-o||
Lime spirit|spirit|
lime mix|mixer|
Lime peel|mixer|
lime syrup||
Limeade||
limes||
Limoncello||
limoncello lemon spirit|spirit|
Lingonberry jam||
spirit|spirit|
Listerine(R) Cool Mint mouthwash|mixer|
long island iced tea mix||
Looza mango nectar||
Looza(R) banana nectar||
Looza(R) pear nectar||
Luxardo(R) maraschino spirit||
Luxardo(R) white sambuca||
Luxardo-Amaretto||
Luxardo-Maraschino||
lychee spirit|spirit|
Macadamia nut spirit|spirit|
mace||
Mad Dog 20/20||
malt||
Malt liquor||
mandarin spirit||
Mandarine Napoleon(R) orange spirit||
mango jell-o|mixer|
mango spirit|spirit|
mango mix|mixer|
mango nectar|mixer|
mango puree|mixer|
mango schnapps|mixer|
mango sherbet|mixer|
mangos||
maraschino cherries||
Maraschino cherry||
Maraschino spirit||
Margarita mix||
Marie Brizard(R) anisette licorice spirit||
Marie Brizard(R) apple spirit||
Marie Brizard(R) cherry spirit|spirit|
Marie Brizard(R) Coconut Passion spirit|spirit|
Marie Brizard(R) creme de banane||
Marie Brizard(R) Creme de Fraise des Bois||
Marie Brizard(R) creme de mure|spirit|
Marie Brizard(R) Lime Citron spirit|spirit|
Marie Brizard(R) Mango Passion spirit||
Marie Brizard(R) orange curacao||
Marie Brizard(R) peach spirit|spirit|
Marie Brizard(R) Poire Williams pear spirit|spirit|
Marie Brizard(R) watermelon spirit|spirit|
Marie Brizard(R) white creme de cacao spirit|spirit|
marinade||
Marjoram leaves||
marmalade||
marshmallow||
Marshmallows||
Martinelli's(R) apple cider||
Martini & Rossi(R) bianco vermouth||
Martini & Rossi(R) dry vermouth||
Martini & Rossi(R) extra dry vermouth||
Martini & Rossi(R) sweet vermouth||
Maui||
Maui(R) Blue Hawaiian schnapps||
Maui(R) tropical schnapps||
McCormick's(R) Hot Shot||
McGuinness(R) blue Curacao spirit||
McGuinness(R) creme de banane||
McGuinness(R) creme de menthe||
McGuinness(R) melon spirit|spirit|
Mcguire's(R) Irish cream||
Mello Yello||
Melloni(R) melon spirit||
Melon Deoria(R) spirit||
Melon spirit||
melon schnapps||
melons||
Metaxa||
Metaxa 5 Star||
Metromint(R) peppermint water||
Mexican hot chocolate||
Mezcal||
Michael Collins||
Michelob Ultra Light||
Mickey Finn's butterscotch and vanilla spirit||
Mickey's(R) malt liquor||
Midori||
Midori melon spirit|spirit|
Midori(R) melon spirit|spirit|
Mike's(R) hard lemonade||
Milk|mixer|
Mint||
mint spirit||
mint schnapps||
mixed-berry marinade|mixer|
Mohawk(R) triple sec||
Molasses|mixer|
Molinari(R) black sambuca||
Molinari(R) sambuca extra||
Monin bitter||
Morton(R) salt||
Mountain Berry Kool-Aid||
Mountain Dew(R) Pitch Black II||
Mozart(R) Black chocolate spirit|spirit|
Mozart(R) chocolate spirit|spirit|
Mozart(R) Original chocolate spirit|spirit|
Mozart(R) White chocolate spirit|spirit|
Mr & Mrs T(R) sweet and sour mix|mixer|
Mr & Mrs T's(R) pina colada mix|mixer|
Mr. and Mrs T Margarita Mix|mixer|
Mudslide mix|mixer|
Muscovado sugar||
mustard||
Nachtmusiek(R) chocolate spirit|spirit|
Nesquik(R) chocolate powder|mixer|
Nestle(R) hot chocolate|mixer|
No. 3||
Nocello(R) walnut spirit||
Noilly Prat(R) French vermouth||
Nutmeg||
Nuts||
Offley Rich(R) tawny port||
Oh Canada(R) maple spirit|spirit|
ojen anise spirit|spirit|
okra||
Old Krupnik(R) honey spirit|spirit|
Old Orchard Pomagranate Cherry||
Old Speckled Hencans||
Old-fashioned mix||
Olive||
olives||
Olorosa sherry||
onion powder||
onions|mixer|
Opal Nera(R) black sambuca||
Orange bitters||
orange cognac spirit||
orange crush||
Orange Curacao||
Orange Curacao spirit||
orange jell-o||
Orange spirit||
Orange peel||
orange schnapps||
orange sherbet|mixer|
Orange spiral||
orange squash|mixer|
orangeade||
Orange-Strawberry Sunny Delight||
oregano||
Oreo Chocolate Cookie||
Oreo Chocolate Cookies||
Oreo cookie||
Oronoco||
Ouzo||
ouzo anise spirit|spirit|
Oxley||
Pabst Blue Ribbon||
PAMA(R) pomegranate spirit|spirit|
Pampero||
Pampero-Anniversario||
papaya nectar||
paprika||
paraiso||
Parfait Amour(R) orange spirit|spirit|
Parfait d'Amour||
Parma violet spirit||
Parmesan cheese||
Parrot Bay||
Partida(R) agave nectar||
passion-fruit||
passion-fruit spirit||
passion-fruit nectar||
passion-fruit puree||
Passoa||
Passoa(R) spirit|spirit|
pastis spirit|spirit|
Patron(R) Citronge spirit|spirit|
Paul Masson(R) chocolate hazelnut spirit|spirit|
Paulaner Hef||
PBR Tall Boy||
Peach||
peach bitters||
peach iced tea||
peach kernel||
Peach spirit||
Peach nectar||
peach puree||
Peach schnapps||
peach sherbet||
peaches||
Peachtree schnapps||
peanut butter||
Peanut spirit||
Pear||
pear cider||
Pear spirit||
pear nectar||
pear puree||
pear schnapps||
Pear soft drink|mixer|
pears||
pecan nuts||
Pecher Mignon(R) peach spirit|spirit|
Pedro Ximinez sherry||
Pepe Lopez(R) cream of coconut||
pepper||
Peppermint extract||
peppermint spirit||
Peppermint schnapps||
pepperoncini||
peppers||
Pepsi(R) Holiday Spice||
Pernod||
Pernod(R) licorice spirit||
Peroni||
Petrol||
Peychaud bitters||
Peychaud(R) bitters||
Phillips(R) Butter Ripple Schnapps||
Phillips(R) butterscotch schnapps||
Phillips(R) Hot 100 cinnamon schnapps||
Phillips(R) peppermint schnapps||
pickle||
pickle brine||
Pickled pepper||
Pilsner Urquell||
pimento herbal spirit||
Pimms||
Pimm's No. 1||
Pimm's Summer Punch||
Pina colada mix||
pineapple jell-o||
pineapple spirit||
pineapple sherbet|mixer|
pineapples||
Pineau des Charentes||
Pink lemonade||
Pisang Ambon||
Pisang Ambon(R) spirit||
Pisco||
Pistachio spirit||
Plymouth||
Polmos||
Pomegranate spirit||
pomegranate schnapps||
Ponche Caballero(R) Italian spirit||
Pop Rocks(R) candy||
Pop-Ice(R)||
popsicle||
Port||
Powdered sugar||
Powerade(R) lemon-lime powder||
Powers||
Praline New Orleans-style pecan spirit||
prune||
Pumpkin||
Pumpkin puree||
Punt e Mes red vermouth||
Purple passion||
Pyramid Hefeweizen||
Quady's Vintage 1996||
Quetsch(R) plum spirit||
rainbow sherbert||
Raisins||
raki spirit||
Ranger IPA||
Raspberries||
raspberry||
Raspberry cordial||
Raspberry di Amore(R)||
raspberry ginger ale||
Raspberry jam||
raspberry jell-o||
raspberry lemonade||
Raspberry spirit||
raspberry puree||
Raspberry schnapps||
raspberry sherbet|mixer|
Razzmatazz||
red bell peppers||
red cayenne peppers||
Red Cordial||
red curry paste||
red sambuca||
Red Stripe||
Rhubarb||
Ribena(R) blackcurrant cordial||
Ricard||
Ricard(R) pastis||
Rock and rye||
Rock and Rye(R) spirit||
rock melon||
Romana(R) black sambuca||
Romana(R) white sambuca||
Roncoco(R) coconut spirit||
Root beer schnapps||
Rose||
Rose Essence||
Rosemary||
Rose's(R) blue raspberry mixer||
Rose's(R) Cocktail Infusions Cranberry Twist||
Rose's(R) grenadine syrup||
Rose's(R) sour apple mix||
Rose's(R) sweet and sour mix||
Rose's(R) triple sec||
Rose's(R) Watermelon Cocktail Infusion||
rosso vermouth||
Royal Crown(R) cola||
ruby port||
Rum cream spirit||
Rum Tree(R) spirit||
Rumple Minze||
Rumple Minze(R) peppermint spirit||
Rumplemintz||
RW Orchard Apricot||
RW Orchard Peach||
Safari||
Safari(R) spirit||
Sagatiba Pura Cachaca||
Sagatiba Velha Cachaca||
Sailor Jerry Spiced||
Sake||
Salsa||
Salt||
Sam Adams||
Sambuca||
Sambuca di Amore(R) spirit||
Sambuca Romana||
San Pellegrino(R)||
sangria||
Sapporo||
Sarsaparilla||
Saurer apfel||
Sauvignon Blanc||
Sauza||
Sazerac Rye||
Schlitz||
Schnapps||
Schweppes Lemon|mixer|
Schweppes Russchian|mixer|
Schweppes(R) ginger ale|mixer|
Schweppes(R) lemonade|mixer|
Schweppes(R) pink lemonade|mixer|
Schweppes(R) raspberry ginger ale|mixer|
Scorned Woman(R) hot sauce||
Scotch||
Scotch whisky||
Sea Dog(R) Blue Paw Wheat Ale||
Seagram 7||
Seagrams||
Seagrams 7||
Seagrams VO||
Seagram's(R) 7 whisky||
Sebor(R) Absinth absinthe||
Semtex Forte(R)||
Session Black Label||
Sherbet||
Sherry||
Shipyard Smashed Blueberry||
Shiso||
Sho Chiku Bai Sake||
Shochu||
Sierra Mist(R) soda||
Sierra Nevada||
Siete Leguas Anejo||
Siete Leguas Blanco||
Siete Leguas Reposado||
simple syrup||
Simply(R) Lemonade||
single cream||
Sirup of roses||
skimmed milk||
Skittles||
Skyy||
Skyy Citrus||
Skyy Pineapple||
Skyy(R) cosmopolitan mix||
Slim Jim||
Slush Puppie(R)||
Smirnoff(R) Black Ice||
Smirnoff(R) Ice||
Smirnoff(R) Ice Triple Black||
Smucker's(R) caramel syrup||
Snapple||
Snapple(R) Earth soda||
Snapple(R) Kiwi-Strawberry soda||
Snapple(R) Lemonade soda||
Snapple(R) Lightning soda||
Snapple(R) Mango Madness soda||
Snapple(R) Rain soda||
Snapple(R) Raspberry Iced Tea soda||
Snapple(R) soda||
Sobe(R) Adrenaline Rush energy drink||
Sobe(R) Energy drink||
Soda water|mixer|
Soho(R) lychee spirit||
Soju||
Sortilege(R) Canadian whisky spirit||
sour apple jell-o||
Sour apple spirit||
sour apple mix||
Sour Apple Pucker||
Sour Apple Schnapps||
sour cherries||
sour lemonade||
Sour mix||
Sour Puss||
Sour Puss(R) apple spirit||
Sour Puss(R) raspberry spirit||
Sourz(R) apple spirit||
Sourz(R) Tropical Blue spirit||
Sourz(R) tropical spirit||
Southern Comfort||
Southern Comfort(R) Black Label peach schnapps||
Southern Comfort(R) peach spirit||
Soy milk||
Soy sauce||
soymilk||
sparkling berry jello||
Sparkling Rose||
spearmint||
spiced cider||
Springback 14 year||
Sprite||
Sprite Remix||
Sprite(R) soda||
Sprite(R) Zero soda||
squid||
Squirt||
Squirt(R) citrus soda||
St. Brendan's(R) Irish cream spirit||
St. George Absinthe||
St. George Terroir||
St. Germain||
St. Germain Elderflower||
St. Hallvard||
St. Pauli Girl NA||
St. Peter's English Ale||
Starbucks(R) coffee spirit||
Staropramen Lager||
steak sauce||
Stella Artois||
Stella Artois(R) lager||
Steven Seagal's Lightning Bolt||
Stewart's(R) Orange 'n Cream soda||
St-Germain Elderflower spirit||
Stirrings(R) Bloody Mary Rimmer||
Stolichnaya||
Stolichnaya Blueberry||
Stolichnaya Citros||
Stolichnaya Orange||
Stolichnaya Rasberry||
Stolichnaya Vanilla||
Stout||
Strawberries||
strawberry||
strawberry crush||
strawberry daiquiri mix||
strawberry ice cream||
strawberry jell-o||
Strawberry spirit||
strawberry margarita mix||
strawberry mix||
strawberry puree||
Strawberry schnapps||
strawberry soda||
Strawberry syrup||
strawberry-rhubarb mix||
Strega||
Strega(R) herbal spirit||
Strongbow(R) cider||
Sugar||
Sugar syrup||
Sugarfree Red Bull||
Sun Drop(R) citrus soda||
Sunkist(R) orange soda||
Sunny delight||
Sunny Delight(R) Tangy Original Style||
Suntory Yamazaki 12y||
Suntory(R) mango spirit||
Suntory(R) Royal whisky||
superfine sugar||
Surge||
Surge(R) citrus soda||
Svedka||
Svedka Clementine||
Swedish Punsch||
Sweet and sour||
sweet and sour lemon bar mix||
sweet and sour mix||
sweet sherry||
Sweet Vermouth||
sweetened condensed milk||
Sweet'N Low(R) artificial sweetener||
swiss chocolate almond spirit||
Swiss Mocha Cream spirit||
Syrah||
syrup||
syrup of roses||
Tabasco sauce||
Tabasco(R) sauce||
Taboo||
Talisker||
Talisker 10y||
tamarillo||
tamarind||
Tamarindo puree||
tamarinds||
Tampico(R) fruit punch||
Tang||
Tang(R) powdered soft drink||
tangerine schnapps||
Tapatio(R) hot sauce||
Tawny port||
Tazo Passion(R) tea||
Tea||
Teichenne(R) butterscotch schnapps||
Templeton Rye||
Tencane||
The Dimple Pinch||
The Perfect Puree of Napa Valley(R) Scarlet Orange concentrate||
The Singleton||
Three Olives||
Thunderbird||
Tia maria||
Tia Maria(R) chocolate spirit|spirit|
Tia Maria(R) coffee spirit|spirit|
TicTac||
Tio Pepe(R) sherry||
Tito's||
toffee spirit|spirit|
tomato||
Tonic|mixer|
Tony Chachere's(R) Creole Seasoning||
Trader Joe's(R) Spicy Cider||
Tres Leches||
Trios Pistoles||
Triple sec||
Tropical fruit schnapps||
tropical-fruit puree||
tropical-fruit schnapps||
Tropicana Twister Kinetic Kiwi Strawberry|mixer|
Tropicana(R) fruit punch|mixer|
Tropicana(R) Light Berry Blend|mixer|
Truffles(R) chocolate spirit||
Trumer Pilsner||
Tuaca||
Tuaca(R) citrus spirit|spirit|
Turbo Dog Pale Ale||
Turkey Hill(R) iced tea||
Uncle Vals||
Underberg(R) bitters||
Unibroue “La Fin du Monde”||
UV||
UV Blue||
V8 Splash Tropical Blend||
V8(R) Splash raspberry lemonade||
Van Der Hum(R) spirit||
Vana Tallin(R) cream spirit||
Vana Tallinn||
Vanilla||
vanilla Chai tea||
vanilla cola||
Vanilla extract||
vanilla ice cream||
Vanilla ice-cream||
Vanilla spirit||
Vanilla schnapps||
Vanilla syrup||
Vanille Royale(R) vanilla cream spirit||
Vault(R) energy drink||
Vault(R) Zero||
Veev||
Vermeer(R) Dutch Chocolate Cream spirit||
Vermouth||
Vimto(R) blackcurrant squash||
Vinegar||
Vita Coco(R) coconut water||
vitamin C||
Viuda de Sanchez||
Vizcaya||
Voyant(R) Chai cream spirit||
VS cognac||
VSOP cognac||
walnut||
wasabi||
Water||
Watermelon||
Watermelon spirit||
watermelon mix||
Watermelon schnapps||
watermelons||
Welch's(R) strawberry breeze||
West Coast Cooler||
West Cost IPA||
wheatgrass||
Whipped cream||
Whipping cream||
whisky sour mix||
Whistle Pig Rye||
White chocolate spirit||
white creme de cacao||
White Creme de Menthe||
White Curacao spirit||
White Lightning(R) cider||
white pepper||
White port||
white sambuca||
Wilcox(R) chocolate milk||
Wild Spirit spirit||
Wild Spirit(R) chocolate raspberry spirit||
wild strawberry spirit||
Wild Turkey||
Wildberry schnapps||
Windsor(R) Canadian whisky||
Woodford Reserve||
Worcestershire sauce||
Wormwood||
wormwood extract||
X-Rated Fusion(R) spirit||
XS Energy Drink - Cola||
x-treme green apple jell-o||
Xyience(R) Big Apple energy drink||
Yamizaki 12 yr||
Yamizaki 18 yr||
Yeast||
Yellow Chartreuse||
Yellow Chartreuse(R)||
yellow lemonade||
Yoghurt||
Yoo-hoo(R) chocolate milk||
Ypioca(R) Ouro Cachaca||
Yukon Jack||
Yukon Jack(R) Canadian whisky||
Yukon Jack(R) Perma Frost schnapps||
Zacapa 23y||
Zaya||
Zen(R) green tea spirit|spirit|
Zima||
Zima(R) XXX Hard Orange||
Zinfandel||
