Name|d_cat|d_alcohol|d_glass|d_ingredients|d_instructions|d_shopping|Price|Availability
Blue Hawaii|Cocktail|Alcoholic|Highball Glass|1 oz DeKuyper(R) Blue Curacao liqueur, 1 oz Smirnoff(R) vodka, 1 oz sweet and sour mix, 2 oz pineapple juice|Blue Hawaii is a tasty recipe modified from a recipe on the reverse of a DeKuyper Blue Curacao bottle.Pour all ingredients into a shaker and shake thoroughly. Pour over crushed ice in a highball glass, and serve.|DeKuyper(R) Blue Curacao liqueur, Smirnoff(R) vodka, sweet and sour mix, pineapple juice|15|Yes
Bourbon Lancer|Cocktail|Alcoholic|Highball Glass|1 1/2 oz bourbon (4.5 cl, 3/8 gills), 1/2 tsp sugar (2 dashes), 1 dash Angostura bitters|Fill a chilled highball glass with ice cubes. Add bitters and bourbon. Topup with champagne. Garnish with lemon|Bourbon, Sugar , Angostura bitters, Lemon|16|Yes
Breakfast Martini|Cocktail|Alcoholic|Martini Glass|1 1/2 oz Bombay Sapphire gin, 3/4 ozfresh lemon juice, 3/4 oz Cointreau, orange liqueur, 1 tsplight marmalade|Shake ingredients with ice and strain into a chilled martini glass. Garnish with a piece of a slice of toast.|Bombay Sapphire gin, Lemon juice, Cointreau, Orange liqueur, Light marmalade|17|Yes
Bronx|Cocktail|Alcoholic|Cocktail glass|1 oz dry vermouth, 1 oz gin, juice of 1/4 oranges, 1 slice orange|Shake all ingredients (except orange slice) with ice and strain into a cocktail glass. Add orange slice and serve.||18|Yes
|Dry vermouth, Gin, Orange Juice, Orange||||||19|Yes
Caipirinha|Ordinary Drink|Alcoholic|Old-fashioned glass|2 tsp granulated Sugar, 1 Lime (8 Wedges), 2 1/2 oz Cachaca|Muddle the sugar into the lime wedges in an old-fashioned glass. Fill the glass with ice cubes. Pour the cachaca into the glass. Stir well.|Sugar, Lime, Cachaca|20|Yes
Cape Cod|Cocktail|Alcoholic|Highball Glass|1 1/2 oz vodka, 4 oz cranberry juice|Combine in a highball glass with ice. Garnish with a wedge of lime, and serve.|vodka, cranberry juice|21|Yes
Cherry Berry Sour|Cocktail|Alcoholic|||||22|Yes
Chicago Cocktail|Cocktail|Alcoholic|Old-Fashioned Glass|2 oz brandy, 1 dash bitters, 1/4 tsp triple sec|Rub the rim of an old-fashioned glass with lemon and dip in powdered sugar. Pour the brandy, bitters and triple sec into a mixing glass half-filled with cracked ice. Stir well. Pour into the prepared glass, and serve.|brandy, bitters, triple sec|23|Yes
Cosmo|Cocktail|Alcoholic|Cocktail Glass|1 1/2 oz vodka, 3/4 oz triple sec, 3/4 oz cranberry juice, 1 ozfresh lime juice|Pour the vodka, triple sec, cranberry juice and lime juice into a cocktail shaker half-filled with ice cubes. Shake well, strain into a cocktail glass, and serve.|vodka, triple sec, cranberry juice, lime juice|24|Yes
Cucumber Gimlet|Cocktail|Alcoholic||1 small cucumber, 2 oz fresh lime juice, 2 oz simple syrup, 3 oz Gin |Muddle 8-10 pieces of the cucumber with the lime juice in a drink shaker.Add simple syrup, gin, and ice.Shake well, strain and serve.||25|Yes
|Small cucumber, Fresh lime juice, Simple syrup, Gin ||||||26|Yes
Daiquiri|Ordinary Drink|Alcoholic|Cocktail glass|1 1/2 oz Light rum, Juice of 1/2 Lime, 1 tsp Powdered sugar|Shake all ingredients with ice, strain into a cocktail glass, and serve. (See also Frozen Daiquiri.)|Light rum, Lime, Powdered sugar|27|Yes
Dark and Stormy|Ordinary Drink|Alcoholic|Any Glass|2 oz Gosling's Black rum, 8 oz Ginger beer|You can substitute any dark or spiced rum . Pour rum over ice, add ginger ale, stir.|Black rum, Ginger beer|28|Yes
Fizzy Apple|Cocktail|Alcoholic|||||29|Yes
Flaming volcano|Cocktail|Alcoholic|||||30|Yes
French Connection|Ordinary Drink|Alcoholic|Old-fashioned glass|1 1/2 oz Cognac, 3/4 oz Amaretto|Pour ingredients into a old-fashioned glass over ice, stir, and serve.|Cognac, Amaretto|31|Yes
Gibson|Ordinary Drink|Alcoholic|Any Glass|1 1/2 oz Gin, 3/4 oz Vermouth, 2 Cocktail onion|Stir gin and vermouth over ice cubes in a mixing glass. Strain into a cocktail glass. Add the cocktail onions and serve.|Gin, Vermouth, Cocktail onion|32|Yes
Grasshopper|Ordinary Drink|Alcoholic|Cocktail glass|3/4 oz Green Creme de Menthe, 3/4 oz white Creme de Cacao, 3/4 oz Light cream|Shake all ingredients with ice, strain into a cocktail glass, and serve.|Green Creme de Menthe, Creme de Cacao, Light cream|33|Yes
Harvey Wallbanger|Ordinary Drink|Alcoholic|Collins glass|1 oz Vodka, 1/2 oz Galliano, 4 oz Orange juice|Pour vodka and orange juice into a collins glass over ice cubes and stir. Float Galliano on top and serve.|Vodka, Galliano, Orange juice|34|Yes
Hurricane|Ordinary Drink|Alcoholic|Cocktail glass|1 oz Light rum, 1 oz Dark rum, 1 tblsp Passion fruit syrup, 2 tsp Lime juice|Shake all ingredients with ice, strain into a cocktail glass, and serve.|Light rum, Dark rum, Passion fruit syrup, Lime juice|35|Yes
Ice Pick|Cocktail|Alcoholic|Collins Glass|1 1/2 oz vodka, 6 oz iced tea, lemon juice|Put vodka in glass fill with iced tea. Stir in lemon to taste.|vodka, iced tea, lemon juice|36|Yes
Joey's Drink|Cocktail|Alcoholic|||||37|Yes
